Date,Tweet,Likes,hashtag,cleaned_tweet,Sentiment,Compound_Score
2025-03-15,"Just look at this whole mess.

It’s insane that in this country, some people with badly twisted heads feel it is a crime to speak against corruption and incompetence as a young person who is the victim of lunatics in government.

Just imagine this madness.",241,politics,"just look at this whole mess

its insane that in this country some people with badly twisted heads feel it is a crime to speak against corruption and incompetence as a young person who is the victim of lunatics in government

just imagine this madness",Negative,-0.9689
2025-03-15,"GD’s one-party parliament has gutted parliamentary oversight and excluded NGOs from any meaningful participation in policymaking. 
Civil society is being systematically dismantled, mirroring Russia’s crackdown on dissent.
11/24",247,politics,"gds oneparty parliament has gutted parliamentary oversight and excluded ngos from any meaningful participation in policymaking 
civil society is being systematically dismantled mirroring russias crackdown on dissent",Neutral,-0.0258
2025-03-15,"Carney is dragging the Liberal Party towards the centre, as he robs",221,politics,carney is dragging the liberal party towards the centre as he robs,Negative,-0.0772
2025-03-15,"People get mad when you point this out, but it’s true.

You can’t cite approval glowingly for months and then call it fake when the same polling average goes negative. 

The current economic messaging is bad. It’s not working. Even if you think the policies are good.",404,politics,"people get mad when you point this out but its true

you cant cite approval glowingly for months and then call it fake when the same polling average goes negative 

the current economic messaging is bad its not working even if you think the policies are good",Negative,-0.9158
2025-03-15,When you are silenced and cancelled because of who you support politically Freedom of Speech and Democracy is at stake.,5438,politics,when you are silenced and cancelled because of who you support politically freedom of speech and democracy is at stake,Positive,0.7096
2025-03-15,"So much debate on Festivals and Languages…. 
No Debate on Unemployment/ Economic Growth/ Slowdown in economy / Crashing markets / US bullying India …. 

We have lost the track as a country",300,politics,"so much debate on festivals and languages 
no debate on unemployment economic growth slowdown in economy  crashing markets  us bullying india  

we have lost the track as a country",Negative,-0.7351
2025-03-15,'She's a disaster!' Rachel Reeves torn apart in blistering rant over 'dangerous' economic policies: 'She has to go',368,politics,shes a disaster rachel reeves torn apart in blistering rant over dangerous economic policies she has to go,Negative,-0.891
2025-03-15,"The India Story

A Crime accused gives interviews to the Press in the presence of the Police.  Trying to influence the case through interviews.  

𝐎𝐧 𝐭𝐡𝐞 𝐎𝐭𝐡𝐞𝐫 𝐇𝐚𝐧𝐝, the Prime Minister of India has not faced the Press even once in the last 11 years.",487,politics,"the india story

a crime accused gives interviews to the press in the presence of the police  trying to influence the case through interviews  

    the prime minister of india has not faced the press even once in the last  years",Negative,-0.6908
2025-03-15,"The 2027 election will be centered around trust issues.

Everyone will suspect each other. From political parties, to politicians, to candidates, to party members, to INEC. 
There will be no trust.
You will see betrayals &amp; counter betrayals as never before. 

Info will be key",443,politics,"the  election will be centered around trust issues

everyone will suspect each other from political parties to politicians to candidates to party members to inec 
there will be no trust
you will see betrayals amp counter betrayals as never before 

info will be key",Positive,0.5856
2025-03-15,https://,895,politics,,Neutral,0.0
2025-03-15,"Rule of thumb: Anything you see from the opposition affiliated bot farm called Ghana Today, Just know it’s fake.

I honestly do not understand the strategy of some elements within the minority opposition who believe that the way to survive opposition is to turn their sights on",388,politics,"rule of thumb anything you see from the opposition affiliated bot farm called ghana today just know its fake

i honestly do not understand the strategy of some elements within the minority opposition who believe that the way to survive opposition is to turn their sights on",Neutral,-0.0258
2025-03-15,The best beginning and ending of one of the most iconic eras of pop,2885,entertainment,the best beginning and ending of one of the most iconic eras of pop,Positive,0.6369
2025-03-15,Wow. You could watch “A Star is Born” and then walk into the next theater and see “On the Waterfront”  What a time to be alive!,6406,entertainment,wow you could watch a star is born and then walk into the next theater and see on the waterfront  what a time to be alive,Positive,0.7506
2025-03-15,"Here's the counter argument.

The kid playing with an X-Wing space ship toy doesn't care. His space ship toy goes in the sci-fi box. My mother in law that claims to not like sci-fi puts Star Wars in the sci-fi box. My 90 year old grandparents also put Star Wars.

The reason being",230,entertainment,"heres the counter argument

the kid playing with an xwing space ship toy doesnt care his space ship toy goes in the scifi box my mother in law that claims to not like scifi puts star wars in the scifi box my  year old grandparents also put star wars

the reason being",Negative,-0.9125
2025-03-15,"Some are still in doubt about MIV so we tried to summarize

MIV keyword: tag @ BRAND # hashtag BRAND, artist, pfw hashtags 

MIV categorizes contributors into five distinct Voices:

Media: consists of media outlets and publications like Vogue and Elle. Traditional media is no",310,entertainment,"some are still in doubt about miv so we tried to summarize

miv keyword tag  brand  hashtag brand artist pfw hashtags 

miv categorizes contributors into five distinct voices

media consists of media outlets and publications like vogue and elle traditional media is no",Negative,-0.296
2025-03-15,"Hollywood doesn’t know how to market them. 

But it also seems like television is scratching this itch for a lot of people.",229,entertainment,"hollywood doesnt know how to market them 

but it also seems like television is scratching this itch for a lot of people",Positive,0.5023
2025-03-15,"- 0/80

Excellent Night Shows for Court, Negative share for Dilruba on the",757,entertainment,excellent night shows for court negative share for dilruba on the,Positive,0.296
2025-03-15,"Percy Jackson season 3, Reeve Carney and Eva Noblezada engaged, Maybe Happy Ending album released, Toothless meet and greet photos. Big 24 hours for news specifically for me",1035,entertainment,percy jackson season  reeve carney and eva noblezada engaged maybe happy ending album released toothless meet and greet photos big  hours for news specifically for me,Positive,0.743
2025-03-15,"The K-pop industry is on the brink of transformation.

What HYBE, Source Music, Belift Lab, and the old guard fear the most is about to unfold.

The deeply entrenched toxic culture and the extreme imbalance of power will crumble, paving the way for artists and creatives to",762,entertainment,"the kpop industry is on the brink of transformation

what hybe source music belift lab and the old guard fear the most is about to unfold

the deeply entrenched toxic culture and the extreme imbalance of power will crumble paving the way for artists and creatives to",Negative,-0.4939
2025-03-15,the whole kpop industry is gonna be here,5603,entertainment,the whole kpop industry is gonna be here,Neutral,0.0
2025-03-15,…,396,entertainment,,Neutral,0.0
2025-03-15,…,305,entertainment,,Neutral,0.0
2025-03-15,I feel like the only shows that has respected and honoured her as a musician is b99 and new girl,602,entertainment,i feel like the only shows that has respected and honoured her as a musician is b and new girl,Positive,0.8316
2025-03-15,I love when Bollywood actors start getting patriotic and philosophical when their new movie is about to release on TV interviews. And I love the fact the TV channels that bash Bollywood give space to the Bollywood actors. Such is the comedy of our times.,279,entertainment,i love when bollywood actors start getting patriotic and philosophical when their new movie is about to release on tv interviews and i love the fact the tv channels that bash bollywood give space to the bollywood actors such is the comedy of our times,Positive,0.8979
2025-03-15,http://,8631,entertainment,,Neutral,0.0
2025-03-15,7. You can check out the full study here:,2081,entertainment,you can check out the full study here,Neutral,0.0
2025-03-15,Is all of entertainment now some kind of feminist support group?,338,entertainment,is all of entertainment now some kind of feminist support group,Positive,0.6705
2025-03-15,"I knew Hollywood was a cesspool of depraved lunatics but the more I look into it, the more it seems that nothing in Hollywood is even real. 

It seems to be an incredibly large CIA operation used to manipulate the entire world.",680,entertainment,"i knew hollywood was a cesspool of depraved lunatics but the more i look into it the more it seems that nothing in hollywood is even real 

it seems to be an incredibly large cia operation used to manipulate the entire world",Negative,-0.2023
2025-03-15,"ttpd:
1 real music video
barely any promo
no interviews or public appearances
ES:
incoming deluxe
3 music videos
public appearances and promo
lead single before album drop
ariana in wicked
oscar nomination hype
ariana constantly active and posting",272,entertainment,"ttpd
 real music video
barely any promo
no interviews or public appearances
es
incoming deluxe
 music videos
public appearances and promo
lead single before album drop
ariana in wicked
oscar nomination hype
ariana constantly active and posting",Negative,-0.577
2025-03-15,Follow us for more updates about your favorite artists!,519,entertainment,follow us for more updates about your favorite artists,Positive,0.4588
2025-03-15,"I genuinely hate that kids now don’t have cheap ass experiences catered to them having fun. They don’t have clothing stores for tweens, music artists, the shows not hitting. We reverted back to kids not being considered so fast",3329,entertainment,i genuinely hate that kids now dont have cheap ass experiences catered to them having fun they dont have clothing stores for tweens music artists the shows not hitting we reverted back to kids not being considered so fast,Positive,0.3506
2025-03-15,I complete four years in film journalism today and this interview is the best work anniversary gift I could have asked for. Can’t wait to share,2152,entertainment,i complete four years in film journalism today and this interview is the best work anniversary gift i could have asked for cant wait to share,Positive,0.7361
2025-03-15,Channel 4 Go Back To Where You Came From dropped amid backlash over divisive migrant ‘propaganda’ programme,509,entertainment,channel  go back to where you came from dropped amid backlash over divisive migrant propaganda programme,Negative,-0.25
2025-03-15,[1/4],277,entertainment,,Neutral,0.0
2025-03-15,THE WHOLE TOP 3 BEING THE MUSIC INDUSTRY !!!!! WHO IS DOING IT LIKE HER ?!!?!,1941,entertainment,the whole top  being the music industry  who is doing it like her,Positive,0.5106
2025-03-15,Men who wanted to be writers or any kind of creative but never did it get so weirdly competitive with women who are in that field. Especially if you’re a WOC.,411,entertainment,men who wanted to be writers or any kind of creative but never did it get so weirdly competitive with women who are in that field especially if youre a woc,Negative,-0.1352
2025-03-15,…,1601,entertainment,,Neutral,0.0
2025-03-15,"It's funny that a lot of my followers hate that I keep discussing this, but it's a teachable moment. You're watching a culture industry built on lies consume itself in real time.",326,entertainment,its funny that a lot of my followers hate that i keep discussing this but its a teachable moment youre watching a culture industry built on lies consume itself in real time,Negative,-0.6249
2025-03-15,"I’m not ashamed to admit that I grew up watching Generations, Scandal, Muvhango, and Rhythm City.",329,entertainment,im not ashamed to admit that i grew up watching generations scandal muvhango and rhythm city,Negative,-0.2354
2025-03-15,Reactive Agents –Act,1265,technology,reactive agents act,Neutral,0.0
2025-03-15,"Event-driven architecture is a design pattern that helps systems handle real-time interactions &amp; async workflows.

And this course teaches you how it works by building a SaaS application.

You'll use Next.js and Clerk and learn about authentication flows, RBAC, Webhooks, &amp; more.",528,technology,"eventdriven architecture is a design pattern that helps systems handle realtime interactions amp async workflows

and this course teaches you how it works by building a saas application

youll use nextjs and clerk and learn about authentication flows rbac webhooks amp more",Positive,0.3818
2025-03-15,"AI is going to be extremely useful in countering fake news.

The day AI starts fact-checking every post in real time, it could be a big game changer.

It's not going to be easy to spread fake news and propaganda on Social Media.

Be scared sanghis, Be very scared.",2542,technology,"ai is going to be extremely useful in countering fake news

the day ai starts factchecking every post in real time it could be a big game changer

its not going to be easy to spread fake news and propaganda on social media

be scared sanghis be very scared",Negative,-0.802
2025-03-15,"If you're not using AI, you're falling behind.

Here are 10 cutting-edge AI tools to save you hours of boring work:",292,technology,"if youre not using ai youre falling behind

here are  cuttingedge ai tools to save you hours of boring work",Positive,0.0772
2025-03-15,…,637,technology,,Neutral,0.0
